代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	
="601288"	农业银行	4.96	2.96	0.14	2.96	2.97	11003451	1098	0.33	          0.39	2.80	3.01	2.78	2.82	     4.73	3168654848	  1.36	银行	
="002011"	盾安环境	4.88	10.97	0.51	10.97	10.98	505054	5371	-0.18	          6.03	10.49	11.17	10.49	10.46	    60.65	546250880	  1.07	工程机械	
="600335"	国机汽车	4.75	20.93	0.95	20.93	20.95	87190	299	0.19	          1.56	19.98	21.10	19.84	19.98	    15.75	181097136	  0.98	汽车配件	
="601668"	中国建筑	4.74	4.42	0.20	4.42	4.43	7778548	7703	0.22	          2.61	4.19	4.47	4.17	4.22	     5.88	3390560256	  1.30	建筑施工	
="002162"	斯米克	4.40	9.49	0.40	9.48	9.49	150964	1588	0.00	          3.61	9.12	9.60	9.12	9.09	   409.19	142659440	  0.96	陶瓷	
="000605"	渤海股份	4.33	19.26	0.80	19.26	19.27	35932	278	0.15	          4.06	18.22	19.56	18.22	18.46	    95.76	69138056	  2.38	水务	
="601398"	工商银行	4.24	4.18	0.17	4.17	4.18	6677991	725	0.48	          0.25	3.98	4.22	3.96	4.01	     5.00	2730542592	  1.50	银行	
="600875"	东方电气	4.14	16.87	0.67	16.87	16.88	365516	136	0.05	          2.20	16.32	16.88	16.32	16.20	    23.27	609296384	  1.25	电气设备	
="600170"	上海建工	4.05	6.42	0.25	6.42	6.43	1124491	109	0.00	         10.23	6.25	6.68	6.25	6.17	    16.46	726450432	  0.91	建筑施工	
="000898"	鞍钢股份	3.85	4.85	0.18	4.85	4.86	1584835	9785	0.00	          2.58	4.68	4.98	4.53	4.67	    28.51	746394944	  1.68	普钢	
="600873"	梅花生物	3.61	6.61	0.23	6.60	6.61	355873	3	0.30	          1.14	6.40	6.63	6.36	6.38	    56.81	232718560	  0.75	食品	
="300094"	国联水产	3.41	10.30	0.34	10.30	10.31	153827	660	-0.57	          4.39	9.90	10.70	9.50	9.96	    91.64	154196080	  2.44	渔业	
="600019"	宝钢股份	3.36	5.53	0.18	5.53	5.54	2315181	1740	0.18	          1.41	5.30	5.62	5.14	5.35	    13.64	1241983616	  1.62	普钢	
="000024"	招商地产	3.35	17.27	0.56	17.26	17.27	1049576	9149	0.00	         10.23	16.40	17.65	16.23	16.71	    14.89	1785056512	  0.93	全国地产	
="300345"	红宇新材	3.19	22.99	0.71	22.98	22.99	33517	935	0.13	          5.42	22.20	23.00	21.76	22.28	   938.31	75702440	  0.95	钢加工	
="300196"	长海股份	3.19	20.41	0.63	20.36	20.41	15160	253	0.04	          1.39	19.69	20.50	19.69	19.78	    27.54	30617146	  0.99	玻璃	
="002063"	远光软件	3.13	22.77	0.69	22.76	22.77	132601	452	0.13	          3.39	21.83	23.08	21.83	22.08	    55.39	301268544	  0.86	软件服务	
="600048"	保利地产	2.86	7.20	0.20	7.20	7.21	3935775	365	-0.41	          3.67	6.96	7.39	6.86	7.00	     9.53	2792928256	  0.98	全国地产	
="000625"	长安汽车	2.59	15.42	0.39	15.41	15.42	480884	2310	0.00	          1.42	14.98	15.65	14.91	15.03	     9.89	735779008	  1.12	汽车整车	
="600635"	大众公用	2.53	8.09	0.20	8.09	8.10	1341346	592	0.12	          8.15	7.66	8.15	7.61	7.89	    49.47	1061835456	  0.93	供气供热	
="000545"	金浦钛业	2.16	14.20	0.30	14.19	14.20	59999	84	0.14	          3.84	13.85	14.34	13.60	13.90	   118.07	84665472	  0.76	化工原料	
="601669"	中国电建	2.15	4.27	0.09	4.27	4.28	2462929	235	0.00	          7.46	4.16	4.29	4.14	4.18	     9.24	1042421696	  1.18	建筑施工	
="002007"	华兰生物	2.14	37.67	0.79	37.67	37.68	91002	500	-0.02	          1.58	36.80	38.26	36.33	36.88	    38.86	342862464	  0.60	生物制药	
