代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	
="601166"	兴业银行	2.33	13.60	0.31	13.59	13.60	9220804	1856	0.00	          5.70	13.43	14.05	12.87	13.29	     5.07	12404157440	  1.27	银行	福建	8.88	13.45	4538926	4681877	  0.97	1214	4850	--  	
="600036"	招商银行	2.27	13.95	0.31	13.97	13.98	6397786	448	0.86	          3.10	13.90	14.50	13.30	13.64	     5.76	8897229824	  1.48	银行	深圳	8.80	13.91	3078702	3319083	  0.93	702	1002	--  	
="300297"	蓝盾股份	2.12	22.69	0.47	22.69	22.70	93861	1056	-0.04	          8.48	22.28	23.27	21.00	22.22	   290.45	207781424	  1.83	软件服务	广东	10.22	22.14	48576	45284	  1.07	168	438	--  	
="000503"	海虹控股	2.02	29.25	0.58	29.25	29.26	291431	1458	0.10	          3.25	28.67	29.90	27.45	28.67	  8136.13	844110080	  1.22	互联网	海南	8.55	28.96	124019	167412	  0.74	984	1048	--  	
="600000"	浦发银行	1.96	13.53	0.26	13.52	13.53	8596476	607	0.07	          5.76	13.42	14.00	12.90	13.27	     5.44	11553890304	  1.24	银行	上海	8.29	13.44	4292073	4304403	  1.00	1179	36110	--  	
="002567"	唐人神	1.80	10.20	0.18	10.20	10.21	105727	2692	0.19	          2.52	10.03	10.20	9.84	10.02	    55.96	106363776	  1.31	饲料	湖南	3.59	10.06	60786	44941	  1.35	703	189	--  	
="601998"	中信银行	1.77	6.89	0.12	6.90	6.91	3974489	460	-0.28	          1.25	6.79	7.27	6.51	6.77	     7.49	2741329664	  1.06	银行	北京	11.23	6.90	1950639	2023850	  0.96	732	3373	--  	
="600015"	华夏银行	1.73	11.78	0.20	11.78	11.79	3515679	212	0.00	          5.42	11.70	12.30	11.18	11.58	     5.97	4125640960	  0.98	银行	北京	9.67	11.73	1748766	1766912	  0.99	2	225	--  	
="000993"	闽东电力	1.49	10.24	0.15	10.23	10.24	88983	1241	0.19	          2.39	10.16	10.25	9.60	10.09	    32.49	88849280	  1.43	水力发电	福建	6.44	9.98	41915	47068	  0.89	64	430	--  	
="600016"	民生银行	1.11	9.09	0.10	9.09	9.10	16468273	787	0.22	          6.08	9.05	9.50	8.60	8.99	     6.31	15000566784	  1.19	银行	北京	10.01	9.11	7610889	8857384	  0.86	289	24577	--  	
="600673"	东阳光科	0.90	16.75	0.15	16.74	16.78	227005	16	-0.47	          2.76	16.60	17.05	16.26	16.60	   106.46	378585088	  1.58	铝	广东	4.76	16.68	116247	110757	  1.05	635	41	--  	
="300196"	长海股份	0.42	21.47	0.09	21.46	21.47	39216	1371	0.70	          3.59	21.77	21.77	20.20	21.38	    28.97	81928840	  2.09	玻璃	江苏	7.34	20.89	21724	17492	  1.24	51	29	--  	
